Device Name,Entity ID,Domain,Area
Remote UI,binary_sensor.remote_ui,binary_sensor,Unassigned
Motion - Rec Room Occupancy,binary_sensor.motion_rec_room_occupancy,binary_sensor,Rec Room
Motion - Main Bathroom Occupancy,binary_sensor.motion_main_bathroom_occupancy,binary_sensor,Main Bathroom
Contact - Office Door Door,binary_sensor.contact_office_door_door,binary_sensor,Office
Nikki Iphone Focus,binary_sensor.nikki_iphone_focus,binary_sensor,Unassigned
eero WAN status,binary_sensor.eero_wan_status,binary_sensor,Unassigned
Office TV Headphones connected,binary_sensor.office_tv_headphones_connected,binary_sensor,Office
Office TV Supports AirPlay,binary_sensor.office_tv_supports_airplay,binary_sensor,Office
Office TV Supports Ethernet,binary_sensor.office_tv_supports_ethernet,binary_sensor,Office
Office TV Supports find remote,binary_sensor.office_tv_supports_find_remote,binary_sensor,Office
Main Bathroom Light Cloud connection,binary_sensor.main_bathroom_light_cloud_connection,binary_sensor,Main Bathroom
Main Bathroom Light Overheated,binary_sensor.main_bathroom_light_overheated,binary_sensor,Main Bathroom
Kitchen Light Cloud connection,binary_sensor.kitchen_light_cloud_connection,binary_sensor,Kitchen
Garage Coach Lights Cloud connection,binary_sensor.garage_coach_lights_cloud_connection,binary_sensor,Garage
Garage Coach Lights Overheated,binary_sensor.garage_coach_lights_overheated,binary_sensor,Garage
Hallway Light Cloud connection,binary_sensor.hallway_light_cloud_connection,binary_sensor,Hallway
Great Room Light Cloud connection,binary_sensor.great_room_light_cloud_connection,binary_sensor,Unassigned
Basement Steps Cloud connection,binary_sensor.basement_steps_cloud_connection,binary_sensor,Basement
Laundry Light Cloud connection,binary_sensor.laundry_light_cloud_connection,binary_sensor,Laundry Room
Laundry Light Overheated,binary_sensor.laundry_light_overheated,binary_sensor,Laundry Room
Deck Middle Light Cloud connection,binary_sensor.deck_middle_light_cloud_connection,binary_sensor,Deck
Deck Middle Light Overheated,binary_sensor.deck_middle_light_overheated,binary_sensor,Deck
Owner’s Bedroom Light Cloud connection,binary_sensor.owner_s_bedroom_light_cloud_connection,binary_sensor,Owner's Bedroom
Owner’s Bedroom Light Overheated,binary_sensor.owner_s_bedroom_light_overheated,binary_sensor,Owner's Bedroom
Owner's Bathroom Shower Light Cloud connection,binary_sensor.owners_bathroom_shower_light_cloud_connection,binary_sensor,Main Bathroom
Owner's Bathroom Shower Light Overheated,binary_sensor.owners_bathroom_shower_light_overheated,binary_sensor,Main Bathroom
Storage Light Cloud connection,binary_sensor.storage_light_cloud_connection,binary_sensor,Storage
Storage Light Overheated,binary_sensor.storage_light_overheated,binary_sensor,Storage
Deck Outer Lights Cloud connection,binary_sensor.deck_outer_lights_cloud_connection,binary_sensor,Deck
Deck Outer Lights Overheated,binary_sensor.deck_outer_lights_overheated,binary_sensor,Deck
